dataset_id,status,rows,columns,storage,upstream_url
"biogeme_swissmetro","included","10728","28","github_small","https://biogeme.epfl.ch/sphinx/auto_examples/index.html"
"biogeme_optima","included","1899","150","github_small","https://biogeme.epfl.ch/sphinx/auto_examples/index.html"
"biogeme_airline_itinerary","included","3609","56","github_small","https://transp-or.epfl.ch/data/airline.dat"
"biogeme_parking_spain","included","1576","31","github_small","https://transp-or.epfl.ch/data/parking.dat"
"biogeme_telephone","included","434","25","github_small","https://transp-or.epfl.ch/data/telephone.dat"
"mlogit_fishing","included","1182","10","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_modecanada","included","15520","11","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_electricity","included","4308","26","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_train","included","2929","11","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_risky_transport","included","5405","22","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_catsup","included","2798","14","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_cracker","included","3292","14","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_hc","included","250","18","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_heating","included","900","21","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_mode","included","453","9","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_nox","included","9480","12","github_small","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"lpmc_london","included","81086","32","github_raw","https://transp-or.epfl.ch/data/lpmc.dat"
"nhts_2022","included","27375","8 raw trip columns used","github_raw","https://nhts.ornl.gov/downloads"
