dataset_id,rows,columns,source_family,path,upstream_url
"biogeme_swissmetro","10728","28","Biogeme","data/small/biogeme_swissmetro/data.csv","https://biogeme.epfl.ch/sphinx/auto_examples/index.html"
"biogeme_optima","1899","150","Biogeme","data/small/biogeme_optima/data.csv","https://biogeme.epfl.ch/sphinx/auto_examples/index.html"
"biogeme_airline_itinerary","3609","56","Biogeme","data/small/biogeme_airline_itinerary/data.csv","https://transp-or.epfl.ch/data/airline.dat"
"biogeme_parking_spain","1576","31","Biogeme","data/small/biogeme_parking_spain/data.csv","https://transp-or.epfl.ch/data/parking.dat"
"biogeme_telephone","434","25","Biogeme","data/small/biogeme_telephone/data.csv","https://transp-or.epfl.ch/data/telephone.dat"
"mlogit_fishing","1182","10","R mlogit","data/small/mlogit_fishing/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_modecanada","15520","11","R mlogit","data/small/mlogit_modecanada/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_electricity","4308","26","R mlogit","data/small/mlogit_electricity/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_train","2929","11","R mlogit","data/small/mlogit_train/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_risky_transport","5405","22","R mlogit","data/small/mlogit_risky_transport/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_catsup","2798","14","R mlogit","data/small/mlogit_catsup/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_cracker","3292","14","R mlogit","data/small/mlogit_cracker/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_hc","250","18","R mlogit","data/small/mlogit_hc/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_heating","900","21","R mlogit","data/small/mlogit_heating/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_mode","453","9","R mlogit","data/small/mlogit_mode/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
"mlogit_nox","9480","12","R mlogit","data/small/mlogit_nox/data.csv","https://cran.r-project.org/web/packages/mlogit/mlogit.pdf"
